Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Number_of_saccades	Average_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Total_amplitude_of_saccades
Recording51	202011061039	Urban1	Night_H	1	Night_H	150267	904739	121892	423	288	246	192.44	140.6	5.2	1280.35
Recording51	202011061039	Urban1	PedestrianZone_H	1	PedestrianZone_H	150334	237507	128494	399	322	267	212.43	177.11	6.02	1608.65
Recording52	202011061010	Urban0	FinancialSt_L	1	FinancialSt_L	150317	493789	119664	490	244	212	133.57	95.13	3.91	829.88
Recording52	202011061010	Urban0	Metro_L	1	Metro_L	150384	766511	119774	528	227	202	133.87	109.02	3.95	796.98
Recording52	202011061010	Urban0	Night_L	1	Night_L	150267	232278	120829	554	218	195	162.86	108.28	4.97	969.17
Recording52	202011061010	Urban0	PedestrianZone_L	1	PedestrianZone_L	150300	1002296	117712	403	292	270	134.21	90.01	4.05	1092.58
Recording53	201711061211	Urban0	FinancialSt_L	1	FinancialSt_L	150267	492946	120833	329	367	315	182.13	90.15	5	1575.41
Recording53	201711061211	Urban0	Metro_L	1	Metro_L	150457	235350	132699	469	283	257	126.82	89.92	3.25	833.97
Recording53	201711061211	Urban0	Night_L	1	Night_L	150267	1014450	123867	358	346	300	164.64	93.67	4.18	1253.71
Recording53	201711061211	Urban0	PedestrianZone_L	1	PedestrianZone_L	150351	773893	128573	369	348	285	155.92	98.63	4.23	1206.82
Recording54	201911080911	Urban0	FinancialSt_L	1	FinancialSt_L	150317	246687	115215	321	359	325	222.73	141.13	5.95	1933.4
Recording54	201911080911	Urban0	Metro_L	1	Metro_L	150401	691314	128172	466	275	251	201.28	136.38	5.53	1387.5
Recording54	201911080911	Urban0	Night_L	1	Night_L	150301	477784	123430	409	302	279	207.93	152	5.8	1618.21
Recording54	201911080911	Urban0	PedestrianZone_L	1	PedestrianZone_L	150404	894464	127904	326	392	362	191.35	136.01	5.36	1938.73
Recording55	201711061119	Urban0	FinancialSt_L	1	FinancialSt_L	150334	525470	107164	307	349	284	190.73	182.76	5.38	1529.15
Recording55	201711061119	Urban0	Metro_L	1	Metro_L	150484	777805	114530	378	303	229	171.15	145.92	5.03	1152.52
Recording55	201711061119	Urban0	Night_L	1	Night_L	150267	272651	114999	353	326	271	177.67	208.94	4.51	1220.92
Recording55	201711061119	Urban0	PedestrianZone_L	1	PedestrianZone_L	150301	1009503	94603	296	320	220	235.03	304.85	5.65	1242.88
Recording56	201811030519	Urban1	FinancialSt_H	1	FinancialSt_H	150351	252759	138475	675	205	196	191	119.66	6.28	1231.85
Recording56	201811030519	Urban1	Metro_H	1	Metro_H	150367	951907	126890	411	309	292	243.09	151.74	9	2626.95
Recording56	201811030519	Urban1	Night_H	1	Night_H	150417	730870	134371	442	304	289	209.6	142.75	7.45	2154.19
Recording56	201811030519	Urban1	PedestrianZone_H	1	PedestrianZone_H	150334	491848	129674	432	300	274	211.76	160.21	7.03	1926.89
Recording57	202011051030	Urban1	FinancialSt_H	1	FinancialSt_H	150367	482882	92828	360	258	196	227.39	140.12	7.03	1376.94
Recording57	202011051030	Urban1	Metro_H	1	Metro_H	150434	239523	109762	385	285	220	248.48	160.97	7.6	1670.95
Recording57	202011051030	Urban1	Night_H	1	Night_H	150234	915197	116533	369	316	207	229.77	206.22	6.69	1385.43
Recording57	202011051030	Urban1	PedestrianZone_H	1	PedestrianZone_H	150351	711043	111846	297	376	306	196.5	153.02	6.01	1839.57
Recording58	202011081077	Urban1	FinancialSt_H	1	FinancialSt_H	150284	170686	124033	342	363	325	219.7	138.97	5.96	1937.48
Recording58	202011081077	Urban1	Metro_H	1	Metro_H	150401	617265	94091	409	230	147	228.53	150.7	6.1	895.99
Recording58	202011081077	Urban1	Night_H	1	Night_H	150267	414813	119013	436	273	205	215.9	134.32	5.88	1204.98
Recording58	202011081077	Urban1	PedestrianZone_H	1	PedestrianZone_H	150317	821052	114209	373	306	239	225.84	148.92	6.38	1524.74
Recording59	201711061202	Urban0	FinancialSt_L	1	FinancialSt_L	150324	1044748	129732	368	353	316	243.98	129.99	6.96	2198.95
Recording59	201711061202	Urban0	Metro_L	1	Metro_L	150434	222551	128244	334	384	331	214.77	140.3	5.59	1851.39
Recording59	201711061202	Urban0	Night_L	1	Night_L	150267	548376	128284	398	322	283	236.88	134.93	6.43	1820.5
Recording59	201711061202	Urban0	PedestrianZone_L	1	PedestrianZone_L	150317	801245	126504	312	406	370	219.07	132.73	6.07	2245.89
Recording60	201921150033	Urban1	FinancialSt_H	1	FinancialSt_H	150401	417033	131953	487	271	243	230.06	175.5	5.81	1410.72
Recording60	201921150033	Urban1	Metro_H	1	Metro_H	150451	842808	127134	589	216	188	245.49	171.99	6.64	1247.52
Recording60	201921150033	Urban1	Night_H	1	Night_H	150322	183996	133680	522	256	227	223.71	186.72	5.62	1276.86
Recording60	201921150033	Urban1	PedestrianZone_H	1	PedestrianZone_H	150334	638855	128439	424	303	275	245.32	217.65	6.52	1794.06
Recording61	201711260230	Urban0	FinancialSt_L	1	FinancialSt_L	150267	696951	131709	457	288	268	134.44	135.11	4.05	1086.13
Recording61	201711260230	Urban0	Metro_L	1	Metro_L	150478	447041	132555	443	299	278	132.77	104.56	4.11	1141.63
Recording61	201711260230	Urban0	Night_L	1	Night_L	150306	215899	134005	500	268	224	142.21	99.03	4.33	971.02
Recording61	201711260230	Urban0	PedestrianZone_L	1	PedestrianZone_L	150384	906410	127907	317	403	367	205.19	236.92	5.8	2129.07
Recording62	201711140117	Urban1	FinancialSt_H	1	FinancialSt_H	150284	929853	11540	222	52	30	150.73	116.11	3.96	118.74
Recording62	201711140117	Urban1	Metro_H	1	Metro_H	150474	703771	1076	269	4	1	329.67		7.89	7.89
Recording62	201711140117	Urban1	Night_H	1	Night_H	150284	244953	17983	290	62	36	169.03	220.47	3.72	133.93
Recording62	201711140117	Urban1	PedestrianZone_H	1	PedestrianZone_H	150301	486945	9327	222	42	28	157.48	160	2.77	77.57
Recording63	202011051073	Urban1	FinancialSt_H	1	FinancialSt_H	150267	744462	81304	376	216	207	232.05	116.98	7.82	1619.15
Recording63	202011051073	Urban1	Metro_H	1	Metro_H	150455	482847	97663	448	218	195	215.25	127.44	6.6	1286.59
Recording63	202011051073	Urban1	Night_H	1	Night_H	150284	1265449	112214	588	191	166	236.82	187.23	6.4	1062.01
Recording63	202011051073	Urban1	PedestrianZone_H	1	PedestrianZone_H	150367	1004705	100693	379	266	229	216.29	168.98	6.82	1561.29
Recording64	201811940310	Urban0	FinancialSt_L	1	FinancialSt_L	150284	1002561	123143	306	403	369	245.28	149.53	6.77	2497.51
Recording64	201811940310	Urban0	Metro_L	1	Metro_L	150401	207718	128006	342	374	306	192.48	145.46	5.1	1559.2
Recording64	201811940310	Urban0	Night_L	1	Night_L	150250	518928	127974	331	387	343	229.21	135.11	6.16	2111.57
Recording64	201811940310	Urban0	PedestrianZone_L	1	PedestrianZone_L	150426	773524	129848	302	430	397	216.35	150.1	5.9	2341.08
Recording65	201911061147	Urban0	FinancialSt_L	1	FinancialSt_L	150301	988435	114034	402	284	203	150.7	81.74	4.48	909.12
Recording65	201911061147	Urban0	Metro_L	1	Metro_L	150618	246728	132110	681	194	143	153.67	89.14	4.34	621.18
Recording65	201911061147	Urban0	Night_L	1	Night_L	150334	520785	110509	524	211	125	224.54	231.93	5.5	686.92
