Recording	Participant	Timeline	Calibration plane width(mm)	Calibration plane width(px)	Calibration plane height(mm)	Calibration plane height(px)	Point order	Type	X	Y	Calibration accuracy(deg)	Calibration accuracy(mm)	Calibration accuracy(px)	Calibration precision SD(deg)	Calibration precision SD(mm)	Calibration precision SD(px)	Calibration precision RMS(deg)	Calibration precision RMS(mm)	Calibration precision RMS(px)	Validation accuracy(deg)	Validation accuracy(mm)	Validation accuracy(px)	Validation precision SD(deg)	Validation precision SD(mm)	Validation precision SD(px)	Validation precision RMS(deg)	Validation precision RMS(mm)	Validation precision RMS(px)
Recording20	202011100111	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.21	2.28	8.28	0.07	0.84	3.06	0.1	1.1	3.99									
Recording20	202011100111	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5		0.97	3.54		0.64	2.35		0.8	2.92									
Recording20	202011100111	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9		2.66	9.67		0.96	3.48		1.14	4.16									
Recording20	202011100111	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9		2.17	7.88		1.65	6.01		1.37	4.98									
Recording20	202011100111	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										0.53	5.57	20.26	0.19	1.99	7.25	0.18	1.9	6.92
Recording20	202011100111	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										1.91	19.65	71.47	5.66	68.77	250.07	4.08	52.69	191.61
Recording20	202011100111	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										2.96	30.48	110.82	5.19	52.39	190.51	5.19	52.02	189.17
Recording20	202011100111	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.12	1.25	4.53	0.25	2.62	9.53	0.3	3.12	11.36
Recording21	201911100165	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.14	1.45	5.28	0.55	5.82	21.15	0.79	8.4	30.55									
Recording21	201911100165	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.12	1.3	4.71	0.04	0.45	1.64	0.06	0.64	2.32									
Recording21	201911100165	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.09	0.81	2.95	0.1	0.95	3.46	0.09	0.88	3.21									
Recording21	201911100165	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.07	0.77	2.8	0.06	0.61	2.21	0.08	0.83	3.01									
Recording21	201911100165	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.14	1.67	6.06	2.25	25.34	92.15	0.26	2.94	10.69									
Recording21	201911100165	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										1.24	12.18	44.31	0.58	5.68	20.64	0.34	3.35	12.18
Recording21	201911100165	Urban1	528	1920	297	1080	7	Validation	0.7	0.3										0.39	3.9	14.19	0.68	6.64	24.15	0.66	6.53	23.74
Recording21	201911100165	Urban1	528	1920	297	1080	8	Validation	0.3	0.3										0.51	4.99	18.13	0.08	0.77	2.79	0.07	0.67	2.44
Recording21	201911100165	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.54	5.22	18.97	0.44	4.23	15.37	0.22	2.16	7.86
Recording22	202011998115	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.29	3.34	12.13	0.06	0.7	2.55	0.08	0.91	3.31									
Recording22	202011998115	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.25	2.92	10.62	0.08	0.9	3.29	0.09	1.06	3.87									
Recording22	202011998115	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.1	1.1	3.99	0.12	1.32	4.79	0.09	0.96	3.5									
Recording22	202011998115	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.25	2.94	10.71	0.06	0.72	2.63	0.07	0.83	3.04									
Recording22	202011998115	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.21	2.5	9.08	0.06	0.77	2.81	0.07	0.87	3.17									
Recording22	202011998115	Urban1	528	1920	297	1080	6	Validation	0.7	0.3										0.15	1.64	5.95	0.08	0.84	3.07	0.05	0.59	2.13
Recording22	202011998115	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.62	6.74	24.53	0.29	3.28	11.93	0.18	2.02	7.33
Recording22	202011998115	Urban1	528	1920	297	1080	8	Validation	0.3	0.7										1.02	11.2	40.74	0.13	1.47	5.33	0.06	0.68	2.46
Recording22	202011998115	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.52	5.67	20.62	0.08	0.91	3.32	0.07	0.73	2.67
Recording23	201911120161	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	2.71	9.85	0.15	1.6	5.81	0.2	2.18	7.91									
Recording23	201911120161	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.2	2.1	7.64	0.05	0.58	2.13	0.07	0.74	2.71									
Recording23	201911120161	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.12	1.13	4.1	0.1	0.99	3.59	0.08	0.8	2.91									
Recording23	201911120161	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.24	2.6	9.44	0.12	1.34	4.87	0.17	1.82	6.62									
Recording23	201911120161	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9		1.32	4.78		0.92	3.35		0.86	3.13									
Recording23	201911120161	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										1.22	12.77	46.43	0.65	6.78	24.66	0.76	7.96	28.96
Recording23	201911120161	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.72	7.55	27.44	0.32	3.39	12.34	0.08	0.86	3.13
Recording23	201911120161	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										1.02	10.64	38.69	0.4	4.16	15.13	0.07	0.76	2.78
Recording23	201911120161	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.59	6.11	22.22	0.19	1.94	7.04	0.22	2.26	8.22
Recording24	201911120160	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.16	1.76	6.4	0.07	0.8	2.89	0.09	0.96	3.5									
Recording24	201911120160	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.24	2.62	9.51	0.06	0.63	2.3	0.08	0.89	3.25									
Recording24	201911120160	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.08	0.76	2.78	0.08	0.77	2.81	0.09	0.92	3.33									
Recording24	201911120160	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.1	1.12	4.08	0.06	0.72	2.62	0.09	1.02	3.7									
Recording24	201911120160	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.14	1.57	5.72	0.09	1.04	3.77	0.12	1.38	5.01									
Recording24	201911120160	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										0.23	2.39	8.71	0.1	0.99	3.61	0.1	1.06	3.87
Recording24	201911120160	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.36	3.74	13.59	0.1	1.07	3.88	0.1	0.98	3.57
Recording24	201911120160	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.44	4.6	16.73	0.75	7.74	28.15	0.93	9.73	35.4
Recording24	201911120160	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.27	2.77	10.06	0.08	0.88	3.19	0.1	1.08	3.91
Recording25	202021050022	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.08	0.86	3.12	0.12	1.36	4.94	0.09	1.08	3.94									
Recording25	202021050022	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.02	0.27	0.98	0.04	0.5	1.82	0.06	0.68	2.47									
Recording25	202021050022	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.03	0.33	1.2	0.13	1.41	5.13	0.1	1.11	4.03									
Recording25	202021050022	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.05	0.54	1.97	0.05	0.6	2.19	0.05	0.64	2.32									
Recording25	202021050022	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.03	0.38	1.36	0.03	0.38	1.38	0.04	0.53	1.93									
Recording25	202021050022	Urban0	528	1920	297	1080	6	Validation	0.3	0.3										0.22	2.4	8.72	0.06	0.71	2.57	0.04	0.46	1.67
Recording25	202021050022	Urban0	528	1920	297	1080	7	Validation	0.7	0.7										0.16	1.79	6.51	0.08	0.84	3.05	0.06	0.65	2.37
Recording25	202021050022	Urban0	528	1920	297	1080	8	Validation	0.3	0.7										0.27	2.97	10.81	0.14	1.5	5.47	0.05	0.56	2.05
Recording25	202021050022	Urban0	528	1920	297	1080	9	Validation	0.7	0.3										0.08	0.84	3.06	0.04	0.45	1.65	0.04	0.46	1.67
Recording26	202011998064	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.11	1.29	4.71	0.46	5.15	18.73	0.3	3.37	12.27									
Recording26	202011998064	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.05	0.57	2.08	0.05	0.6	2.19	0.05	0.53	1.91									
Recording26	202011998064	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.11	1.17	4.25	0.52	5.33	19.38	0.59	6.04	21.96									
Recording26	202011998064	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.09	1.05	3.82	0.52	6.16	22.42	0.26	3.08	11.2									
Recording26	202011998064	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.07	0.82	2.98	0.07	0.73	2.67	0.06	0.69	2.5									
Recording26	202011998064	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.52	5.62	20.45	0.29	3.12	11.33	0.04	0.43	1.56
Recording26	202011998064	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.73	7.64	27.77	0.1	1.11	4.02	0.05	0.51	1.84
Recording26	202011998064	Urban1	528	1920	297	1080	8	Validation	0.3	0.3										0.79	8.23	29.92	0.73	7.6	27.65	0.48	5	18.17
Recording26	202011998064	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.43	4.55	16.53	0.09	0.9	3.28	0.05	0.53	1.94
Recording27	201711061164	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.17	1.96	7.11	0.18	2.08	7.56	0.12	1.35	4.89									
Recording27	201711061164	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.02	0.26	0.94	0.06	0.7	2.56	0.06	0.63	2.31									
Recording27	201711061164	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.03	0.27	0.97	0.06	0.6	2.2	0.06	0.63	2.3									
Recording27	201711061164	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.04	0.5	1.81	0.15	1.63	5.93	0.12	1.27	4.6									
Recording27	201711061164	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.04	0.43	1.56	0.05	0.55	2	0.05	0.58	2.11									
Recording27	201711061164	Urban0	528	1920	297	1080	6	Validation	0.3	0.3										0.86	8.7	31.65	0.12	1.18	4.29	0.05	0.48	1.75
Recording27	201711061164	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										1.06	10.85	39.45	0.07	0.75	2.72	0.05	0.5	1.81
Recording27	201711061164	Urban0	528	1920	297	1080	8	Validation	0.7	0.3										0.99	9.99	36.32	0.09	0.87	3.15	0.05	0.56	2.02
Recording27	201711061164	Urban0	528	1920	297	1080	9	Validation	0.7	0.7										0.71	7.28	26.48	0.09	0.89	3.24	0.05	0.52	1.87
Recording28	202011160005	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.19	2.12	7.69	0.05	0.61	2.21	0.07	0.84	3.06									
Recording28	202011160005	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.17	1.88	6.82	0.04	0.51	1.86	0.07	0.77	2.8									
Recording28	202011160005	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.55	2.01	0.06	0.62	2.24	0.08	0.79	2.87									
Recording28	202011160005	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.15	1.62	5.89	0.1	1.07	3.88	0.07	0.82	2.98									
Recording28	202011160005	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.1	1.08	3.92	0.07	0.81	2.93	0.09	1.02	3.7									
Recording28	202011160005	Urban1	528	1920	297	1080	6	Validation	0.7	0.3										0.62	6.38	23.18	0.07	0.7	2.54	0.07	0.7	2.56
Recording28	202011160005	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.13	1.35	4.92	0.05	0.56	2.02	0.06	0.64	2.33
Recording28	202011160005	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.67	6.96	25.31	0.08	0.82	2.96	0.09	0.88	3.21
Recording28	202011160005	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.15	1.54	5.6	0.09	0.93	3.37	0.11	1.11	4.02
Recording29	202031061046	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.02	0.21	0.76	0.12	1.47	5.35	0.09	1.11	4.03									
Recording29	202031061046	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0	0.04	0.15	0.04	0.53	1.92	0.05	0.57	2.08									
Recording29	202031061046	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0	0.04	0.16	0.06	0.62	2.27	0.05	0.58	2.1									
Recording29	202031061046	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.01	0.17	0.63	0.06	0.73	2.67	0.06	0.68	2.46									
Recording29	202031061046	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.02	0.23	0.84	0.03	0.37	1.35	0.04	0.46	1.66									
Recording29	202031061046	Urban1	528	1920	297	1080	6	Validation	0.7	0.3										0.32	3.57	12.99	0.1	1.1	4	0.04	0.47	1.72
Recording29	202031061046	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.03	0.33	1.21	0.12	1.29	4.68	0.06	0.65	2.35
Recording29	202031061046	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.22	2.42	8.82	0.11	1.17	4.25	0.06	0.71	2.58
Recording29	202031061046	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.19	2.01	7.32	0.64	6.8	24.72	0.49	5.2	18.92
Recording30	201811200118	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.12	1.32	4.8	0.1	1.2	4.36	0.1	1.18	4.3									
Recording30	201811200118	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.05	0.57	2.07	0.06	0.64	2.32	0.05	0.61	2.2									
Recording30	201811200118	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.03	0.33	1.21	0.04	0.46	1.68	0.05	0.47	1.71									
Recording30	201811200118	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.06	0.64	2.31	0.08	0.93	3.38	0.09	1.03	3.75									
Recording30	201811200118	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.04	0.45	1.64	0.05	0.58	2.12	0.04	0.48	1.73									
Recording30	201811200118	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.12	1.28	4.67	0.14	1.49	5.41	0.04	0.44	1.58
Recording30	201811200118	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.38	4.09	14.87	0.09	0.98	3.58	0.05	0.5	1.81
Recording30	201811200118	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.37	3.82	13.89	0.17	1.8	6.53	0.09	0.91	3.32
Recording30	201811200118	Urban0	528	1920	297	1080	9	Validation	0.7	0.7										0.14	1.44	5.24	0.13	1.34	4.87	0.05	0.51	1.87
Recording31	202011260026	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.12	1.33	4.84	0.05	0.53	1.93	0.05	0.56	2.02									
Recording31	202011260026	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.12	1.33	4.83	0.04	0.48	1.74	0.05	0.61	2.21									
Recording31	202011260026	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.07	0.7	2.55	0.05	0.54	1.96	0.06	0.62	2.27									
Recording31	202011260026	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.08	0.87	3.16	0.05	0.59	2.14	0.05	0.61	2.2									
Recording31	202011260026	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.04	0.42	1.54	0.05	0.54	1.97	0.05	0.59	2.16									
Recording31	202011260026	Urban0	528	1920	297	1080	6	Validation	0.7	0.7										0.71	7.57	27.53	0.1	1.1	4.01	0.06	0.6	2.17
Recording31	202011260026	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.91	9.56	34.77	0.29	3.09	11.23	0.04	0.46	1.69
Recording31	202011260026	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.3	3.09	11.23	1.02	10.59	38.51	1.26	12.95	47.1
Recording31	202011260026	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.32	3.33	12.1	0.06	0.63	2.28	0.05	0.54	1.98
Recording32	201911080266	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.08	0.94	3.4	0.05	0.6	2.16	0.06	0.77	2.79									
Recording32	201911080266	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.12	1.38	5.03	0.05	0.62	2.25	0.07	0.8	2.92									
Recording32	201911080266	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.04	0.39	1.4	0.08	0.84	3.05	0.09	0.99	3.59									
Recording32	201911080266	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.05	0.65	2.36	0.08	1	3.63	0.07	0.89	3.23									
Recording32	201911080266	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.06	0.77	2.79	0.18	2.15	7.81	0.11	1.4	5.08									
Recording32	201911080266	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										0.14	1.53	5.58	0.1	1.16	4.22	0.08	0.87	3.16
Recording32	201911080266	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.29	3.23	11.75	0.69	7.73	28.09	0.5	5.71	20.78
Recording32	201911080266	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.13	1.48	5.37	0.6	6.52	23.7	0.27	2.95	10.74
Recording32	201911080266	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.45	5.15	18.72	0.06	0.71	2.59	0.07	0.78	2.84
Recording33	201811200120	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.19	2.25	8.17	0.07	0.86	3.13	0.11	1.27	4.62									
Recording33	201811200120	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.19	2.23	8.1	0.1	1.14	4.14	0.11	1.34	4.88									
Recording33	201811200120	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.08	0.86	3.12	0.11	1.16	4.21	0.12	1.28	4.66									
Recording33	201811200120	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.93	11.48	41.76	2.21	28.16	102.39	1.71	22.48	81.76									
Recording33	201811200120	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.39	4.83	17.58	2.01	24.75	90	1.49	18.66	67.87									
Recording33	201811200120	Urban0	528	1920	297	1080	6	Validation	0.3	0.3										0.19	2.15	7.81	0.44	4.92	17.9	0.39	4.27	15.54
Recording33	201811200120	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.21	2.38	8.65	0.13	1.47	5.34	0.1	1.14	4.14
Recording33	201811200120	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.58	6.52	23.7	0.13	1.51	5.5	0.1	1.17	4.26
Recording33	201811200120	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.57	6.43	23.39	0.14	1.59	5.79	0.12	1.32	4.81
Recording34	201711140916	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.19	2.08	7.57	0.1	1.18	4.3	0.08	0.97	3.53									
